WISP1 (ug/mL),Delay (Minutes)
0,-0.294117647
0,1.058823529
0,-0.941176471
0,-0.529411765
0,0.411764706
0,0.235294118
0.5,11.76470588
0.5,10.82352941
0.5,11.41176471
0.5,12.11764706
0.5,16
0.5,16.76470588
5,18.88235294
5,16.82352941
5,15.11764706
5,16.70588235
5,16.82352941
5,19.23529412
50,27.52941176
50,28.35294118
50,30.17647059
50,30.76470588
50,31.23529412
50,32.70588235
100,35.29411765
100,35.35294118
100,39.82352941
100,40.94117647
100,43.64705882
100,44.17647059
